slug,title,video_length,has_mp4,has_pdf,has_vtt,education_url,video_mp4_primary,slides_pdf_primary,vtt_primary,series_hint,pathology_relevant,heme_relevant
affolter-panc-pcap25,Pancreatic Histology: A Case-Based Approach,55 min 3 sec,True,True,True,https://arup.utah.edu/education/affolter-panc-pcap25,https://arup.utah.edu/sites/default/files/Edu_Media/videos/affolter-panc-pcap25_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/affolter-panc-pcap25_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/affolter-panc-pcap25_cc_0.vtt,pcap25,True,False
airplane-2023,How to Avoid Building an Airplane Mid Flight: Lab Medicine in the Face of Emerging Public Health Crises,1 hr 6 min 55 sec,True,True,True,https://arup.utah.edu/education/airplane-2023,https://arup.utah.edu/sites/default/files/Edu_Media/videos/airplane-2023_v3.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/airplane-2023_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/airplane-2023_cc_0.vtt,,True,False
albertson-digitalpath-pcap24,Considerations in the Implementation of Digital Pathology and Pathology Assist Applications,42 min 48 sec,True,True,True,https://arup.utah.edu/education/albertson-digitalpath-pcap24,https://arup.utah.edu/sites/default/files/Edu_Media/videos/albertson-digitalpath-pcap24_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/albertson-digitalpath-pcap24_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/albertson-digitalpath-pcap24_cc_0.vtt,pcap24,True,False
andersen-introcyto1-2020,Introduction to Cytogenetics: Part 1,56 min 56 sec,True,True,True,https://arup.utah.edu/education/andersen-introcyto1-2020,https://arup.utah.edu/sites/default/files/Edu_Media/videos/andersen-introCyto1-2020_andersen_intro_cyto1_V2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/andersen-introCyto1-2020_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/andersen-introCyto1-2020_cc_0.vtt,cyto,True,False
andersen-introcyto2-2020,Introduction to Cytogenetics: Part 2,1 hr 18 min 1 sec,True,True,True,https://arup.utah.edu/education/andersen-introcyto2-2020,https://arup.utah.edu/sites/default/files/Edu_Media/videos/andersen-introCyto2-2020_MLSCytogeneticsIntro2_06-01-17Update2V3-small_V2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/andersen-introCyto2-2020_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/andersen-introCyto2-2020_cc_0.vtt,cyto,True,False
antibodyidentification,Introduction to Antibody Identification,51 min 44 sec,True,True,True,https://arup.utah.edu/education/antibodyidentification,https://arup.utah.edu/sites/default/files/Edu_Media/videos/AntibodyIdentification_updatedImmunoAntibodyID_JRhees4_0.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/AntibodyIdentification_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/AntibodyIdentification_cc_1.vtt,,False,False
balatico-cytology-pcap24,Topics in Gynecologic Cytopathology: A Case-Based Review,43 min 52 sec,True,True,True,https://arup.utah.edu/education/balatico-cytology-pcap24,https://arup.utah.edu/sites/default/files/Edu_Media/videos/balatico-cytology-pcap24_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/balatico-cytology-pcap24_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/balatico-cytology-pcap24_cc.vtt,pcap24,True,False
baryeh-hiv-2024,HIV Diagnosis,58 min 13 sec,True,True,True,https://arup.utah.edu/education/baryeh-hiv-2024,https://arup.utah.edu/sites/default/files/Edu_Media/videos/baryeh-hiv-2024_v2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/baryeh-hiv-2024_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/baryeh-hiv-2024_baryeh-hiv-2024.vtt,,False,False
bayraktoydemir-icps-2022,Inherited Cancer Predisposition Syndromes,48 min 8 sec,True,True,True,https://arup.utah.edu/education/bayraktoydemir-icps-2022,https://arup.utah.edu/sites/default/files/Edu_Media/videos/bayraktoydemir-icps-2022_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/bayraktoydemir-icps-2022_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/bayraktoydemir-icps-2022_bayraktoydemir-icps-2022.vtt,,False,False
beech-molec-pcap25,"Mutations, Biomarkers, and Pathways: A Molecular Tour of Gastrointestinal Cancer",50 min 42 sec,True,True,True,https://arup.utah.edu/education/beech-molec-pcap25,https://arup.utah.edu/sites/default/files/Edu_Media/videos/beech-molec-pcap25_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/beech-molec-pcap25_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/beech-molec-pcap25_cc_1.vtt,pcap25,True,True
bellizzi-diff15-pcap25,Differentiating the Undifferentiated: An Immunohistochemical Approach,1 hr 3 min 18 sec,True,True,True,https://arup.utah.edu/education/bellizzi-diff15-pcap25,https://arup.utah.edu/sites/default/files/Edu_Media/videos/bellizzi-diff15-pcap25_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/bellizzi-diff15-pcap25_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/bellizzi-diff15-pcap25_SRT%2015%20Bellizzi_Differentiating%20the%20Undifferentiated-%20An%20Immunohistochemical%20Approach_1.vtt,pcap25,False,False
