source,record_id,tag,pattern,title,path
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000001,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::Benign_Cystic_Neck_Mass_Case_01,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000002,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::Video_Conference_Screen,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000003,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000004,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000005,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000006,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000007,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::Site_of_Pathology_and_the_Paris_System_for_Reporting_Urinary_Cytopathology,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000008,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000009,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000010,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
