root,source,tag,record_id,title,path
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Cyst::Follicular_Cysts,Follicular_Cysts,Follicular_Cysts,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Cyst::Large_Solitary_Luteinized_Follicle_Cyst,Large_Solitary_Luteinized_Follicle_Cyst,Large_Solitary_Luteinized_Follicle_Cyst,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Heterotopia::Endometriosis_And_Deciduosis,Endometriosis_And_Deciduosis,Endometriosis_And_Deciduosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Mechanical::Massive_Edema_And_Fibromatosis,Massive_Edema_And_Fibromatosis,Massive_Edema_And_Fibromatosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Mechanical::Ovarian_Torsion,Ovarian_Torsion,Ovarian_Torsion,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Physiologic::Hyperreactio_Luteinalis,Hyperreactio_Luteinalis,Hyperreactio_Luteinalis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Physiologic::Pregnancy_Luteoma,Pregnancy_Luteoma,Pregnancy_Luteoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Congenital_Structural::Physiologic::Stromal_Hyperplasia_And_Hyperthecosis,Stromal_Hyperplasia_And_Hyperthecosis,Stromal_Hyperplasia_And_Hyperthecosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Inflammatory::Autoimmune::Autoimmune_Oophoritis,Autoimmune_Oophoritis,Autoimmune_Oophoritis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GYN::Ovary,abpath,GYN::Ovary::Inflammatory::Chronic::Luteinized_Thecoma_With_Sclerosing_Peritonitis,Luteinized_Thecoma_With_Sclerosing_Peritonitis,Luteinized_Thecoma_With_Sclerosing_Peritonitis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
