source,record_id,distance,fields,visible_tags,title,path
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002064,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Granulomatous::Granulomatous_Dermatitis_of_Immunodeficiency|Heme::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002073,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Depositional_Metabolic::Xanthoma::Xanthelasma|Heme::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002186,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Depositional_Metabolic::Pigment::Tattoo_Reaction|Skin::Inflammatory::Interface::Fixed_Drug_Eruption,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002308,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Blistering::Stevens_Johnson_Syndrome_Toxic_Epidermal_Necrolysis|Skin::Inflammatory::Interface::Fixed_Drug_Eruption,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002312,,"tag_inherited_from_record_id,tag_inherited_from_idx",HN::Oral_Cavity::Inflammatory::Lichen_Planus|Skin::Inflammatory::Interface::Lichenoid_Drug_Eruption,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002452,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Blistering::Pemphigus_Vulgaris|Skin::Inflammatory::Blistering::Hailey_Hailey_Disease,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002512,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Blistering::Friction_Blister,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002616,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Normal_Histology::Hair|Skin::Normal_Histology::Overview,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002646,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Normal_Histology::Dermis,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002771,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Drug_Eruption::Morbilliform_Drug_Reaction|Skin::Inflammatory::Interface::Fixed_Drug_Eruption,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002772,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Drug_Eruption::Morbilliform_Drug_Reaction|Skin::Inflammatory::Interface::Lichenoid_Drug_Eruption,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002777,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Vasculitis::Urticaria_Hives|Heme::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_002784,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Drug_Eruption::Symmetrical_Drug_Related_Intertriginous_And_Flexural_Erythema_SDRIFE|Heme::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_003201,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Interface::Lichen_Planus|Skin::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_004379,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Blister::Warty_Dyskeratoma|Heme::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_004544,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Neoplastic::Soft_Tissue::Vascular::Retiform_Hemangioendothelioma|Skin::Soft_Tissue::Vascular::Glomus_Tumor,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_004672,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Appendageal_Neoplasm::Mixed_Tumor|Heme::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_004677,,"tag_inherited_from_record_id,tag_inherited_from_idx",Skin::Inflammatory::Vasculitis::Lymphocytic_Vasculitis|Heme::Lectures::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::Benign_Cystic_Neck_Mass_Case_01,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_004795,,"tag_inherited_from_record_id,tag_inherited_from_idx",HN::Soft_Tissue::Vascular::Hemangioma|Skin::Soft_Tissue::Vascular::Acquired_Elastotic_Hemangioma,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_004797,,"tag_inherited_from_record_id,tag_inherited_from_idx",HN::Soft_Tissue::Vascular::Hemangioma|Skin::Soft_Tissue::Vascular::Tufted_Hemangioma,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
textbooks,tbchunk:bone_atlas:bone_atlas_p0382_c001,,"tag_inherited_from_record_id,tag_inherited_from_idx",BST::Bone::Other::Malignant::Metastatic_Carcinoma_Bone,"Many nonneoplastic conditions of bone may form mass this chapter, selective conditions commonly encountered in lesions that clinically and/or radiologically mimic tumors. In clinical practice are discussed.",data/curriculum_map_readiness_v0/textbook_lean_vector_docstore.sample5000.jsonl
textbooks,tbchunk:bone_atlas:bone_atlas_p0389_fig002_caption,,"tag_inherited_from_record_id,tag_inherited_from_idx",BST::Bone::Reactive::Structural::Osteonecrosis_Avascular_Necrosis,Fig. 11.13 Bone infarct. A longstanding bone infarct showing islands of dense fibrosis and prominent calcification,data/curriculum_map_readiness_v0/textbook_lean_vector_docstore.sample5000.jsonl
textbooks,tbchunk:bone_atlas:bone_atlas_p0391_fig001_caption,,"tag_inherited_from_record_id,tag_inherited_from_idx",BST::Bone::Reactive::Joint::Osteoarthritis,Fig. 11.15 Osteochondral body. Relatively circumscribed bony tissue covered by a thin layer of tan-white glistening hyaline cartilage describes this unusually large osteochondral lesion. Apparent cystic degeneration is present,data/curriculum_map_readiness_v0/textbook_lean_vector_docstore.sample5000.jsonl
