tag,count,review_reason
BST::Bone::Chondrogenic::Benign::Bizarre_Parosteal_Osteochondromatous_Proliferation,1,singleton_or_local_review
BST::Bone::Chondrogenic::Benign::Chondroblastoma,1,singleton_or_local_review
BST::Bone::Chondrogenic::Benign::Chondromyxoid_Fibroma,1,singleton_or_local_review
BST::Bone::Chondrogenic::Benign::Enchondroma,1,singleton_or_local_review
BST::Bone::Chondrogenic::Benign::Osteochondroma,1,singleton_or_local_review
BST::Bone::Chondrogenic::Benign::Osteochondromyxoma,1,singleton_or_local_review
BST::Bone::Chondrogenic::Benign::Periosteal_Chondroma,1,singleton_or_local_review
BST::Bone::Chondrogenic::Benign::Subungual_Exostosis,1,singleton_or_local_review
BST::Bone::Chondrogenic::Intermediate::Atypical_Cartilaginous_Tumor,1,singleton_or_local_review
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Dedifferentiated,1,singleton_or_local_review
BST::Bone::Concept::Classification::WHO_Classification,1,singleton_or_local_review
BST::Bone::Concept::Grading::Grading,1,singleton_or_local_review
BST::Bone::Concept::Management_Workup::Fibrodysplasia_Ossificans_Progressiva,1,singleton_or_local_review
BST::Bone::Concept::Molecular_Genetics::Neurofibroma_General,1,singleton_or_local_review
BST::Bone::Concept::Molecular_Genetics::Osteogenesis_Imperfecta,1,singleton_or_local_review
BST::Bone::Concept::Other::Morel_Lavallee_Lesions,1,singleton_or_local_review
BST::Bone::Concept::Procedure_Specimen::Biopsy,1,singleton_or_local_review
BST::Bone::Concept::Reporting_Grossing::Grossing_Frozen_Section_And_Features_To_Report,1,singleton_or_local_review
BST::Bone::Concept::Reporting_Grossing::Infarct,1,singleton_or_local_review
BST::Bone::Concept::Staging::Staging,1,singleton_or_local_review
BST::Bone::Congenital_Structural::Cyst::Aneurysmal_Bone_Cyst,1,singleton_or_local_review
BST::Bone::Congenital_Structural::Cyst::Epidermoid_Inclusion_Cyst,1,singleton_or_local_review
BST::Bone::Congenital_Structural::Verrucous_Venous_Malformation,1,singleton_or_local_review
BST::Bone::Depositional_Metabolic::Deposition::Crystal_Deposition_Diseases,1,singleton_or_local_review
BST::Bone::Depositional_Metabolic::Metabolic::Brown_Tumor,1,singleton_or_local_review
BST::Bone::Depositional_Metabolic::Storage_Disease::Gaucher_Disease,1,singleton_or_local_review
BST::Bone::Fibrogenic::Benign::Desmoplastic_Fibroma,1,singleton_or_local_review
BST::Bone::Fibrogenic::Benign::Non_Ossifying_Fibroma,1,singleton_or_local_review
