who_term,best_abpath_match,score,bucket,source,note
BREAST::Epithelial::Ductal_Adenoma,Breast::Epithelial::Ductal_Adenoma,100,accepted,who,
BREAST::Epithelial::Ductal_Carcinoma::Carcinoma_with_Apocrine_Differentiation,Breast::Epithelial::Ductal_Carcinoma::Carcinoma_with_Apocrine_Differentiation,100,accepted,who,
BREAST::Epithelial::Ductal_Carcinoma::Cribriform_Carcinoma,Breast::Epithelial::Ductal_Carcinoma::Cribriform_Carcinoma,100,accepted,who,
BREAST::Epithelial::Ductal_Carcinoma::Mucinous_Cystadenocarcinoma,Breast::Epithelial::Ductal_Carcinoma::Mucinous_Cystadenocarcinoma,100,accepted,who,
BREAST::Epithelial::Ductal_Carcinoma::Tubular_Carcinoma,Breast::Epithelial::Ductal_Carcinoma::Tubular_Carcinoma,100,accepted,who,
BREAST::Epithelial::Lactating_Adenoma,Breast::Epithelial::Lactating_Adenoma,100,accepted,who,
BREAST::Epithelial::Microglandular_Adenosis,Breast::Epithelial::Microglandular_Adenosis,100,accepted,who,
BREAST::Epithelial::MyoEpithelial::Pleomorphic_Adenoma,Breast::Epithelial::MyoEpithelial::Pleomorphic_Adenoma,100,accepted,who,
BREAST::Epithelial::Neuroendocrine_Tumors::Neuroendocrine_Carcinoma,Breast::Epithelial::Neuroendocrine_Tumors::Neuroendocrine_Carcinoma,100,accepted,who,
BREAST::Epithelial::Papillary_Neoplasms::Invasive_Papillary_Carcinoma,Breast::Epithelial::Papillary_Neoplasms::Invasive_Papillary_Carcinoma,100,accepted,who,
BREAST::Epithelial::Radial_Scar_complex_sclerosing_lesion,Breast::Epithelial::Radial_Scar_complex_sclerosing_lesion,100,accepted,who,
BREAST::Epithelial::Salivary_Tumors::Acinic_Cell_Carcinoma,Breast::Epithelial::Salivary_Tumors::Acinic_Cell_Carcinoma,100,accepted,who,
BREAST::Epithelial::Salivary_Tumors::Mucoepidermoid_Carcinoma,Breast::Epithelial::Salivary_Tumors::Mucoepidermoid_Carcinoma,100,accepted,who,
BREAST::Epithelial::Salivary_Tumors::Polymorphous_Adenocarcinoma,Breast::Epithelial::Salivary_Tumors::Polymorphous_Adenocarcinoma,100,accepted,who,
BREAST::Epithelial::Salivary_Tumors::Tall_Cell_Carcinoma_with_Reversed_Polarity,Breast::Epithelial::Salivary_Tumors::Tall_Cell_Carcinoma_with_Reversed_Polarity,100,accepted,who,
BREAST::Epithelial::Sclerosing_Adenosis,Breast::Epithelial::Sclerosing_Adenosis,100,accepted,who,
BREAST::Epithelial::Tubular_Adenoma,Breast::Epithelial::Tubular_Adenoma,100,accepted,who,
BREAST::Epithelial::Usual_Ductal_Hyperplasia,Breast::Epithelial::Usual_Ductal_Hyperplasia,100,accepted,who,
BREAST::FibroEpithelial::Hamartoma,Breast::FibroEpithelial::Hamartoma,100,accepted,who,
BREAST::GENETICS::Syndromes::Ataxia_Telangiectasia,Breast::Genetics::Syndromes::Ataxia_Telangiectasia,100,accepted,who,
BREAST::GENETICS::Syndromes::CDH1_Associated_Breast_Cancer,Breast::Genetics::Syndromes::CDH1_Associated_Breast_Cancer,100,accepted,who,
BREAST::GENETICS::Syndromes::Cowden_Syndrome,Breast::Genetics::Syndromes::Cowden_Syndrome,100,accepted,who,
BREAST::GENETICS::Syndromes::Li_Fraumeni_Syndrome_CHEK2_Associated,Breast::Genetics::Syndromes::Li_Fraumeni_Syndrome_CHEK2_Associated,100,accepted,who,
BREAST::GENETICS::Syndromes::Neurofibromatosis_Type_1,Breast::Genetics::Syndromes::Neurofibromatosis_Type_1,100,accepted,who,
BREAST::GENETICS::Syndromes::PALB2_Associated_Cancers,Breast::Genetics::Syndromes::PALB2_Associated_Cancers,100,accepted,who,
BREAST::GENETICS::Syndromes::Peutz_Jeghers_Syndrome,Breast::Genetics::Syndromes::Peutz_Jeghers_Syndrome,100,accepted,who,
BREAST::Hematolymphoid_Tumors::Lymphoma::Diffuse_Large_B_Cell_Lymphoma,Breast::Hematolymphoid_Tumors::Lymphoma::Diffuse_Large_B_Cell_Lymphoma,100,accepted,who,
BREAST::Hematolymphoid_Tumors::Lymphoma::Follicular_Lymphoma,Breast::Hematolymphoid_Tumors::Lymphoma::Follicular_Lymphoma,100,accepted,who,
BREAST::Male_Tumors::Epithelial::Carcinoma_in_Situ,Breast::Male_Tumors::Epithelial::Carcinoma_in_Situ,100,accepted,who,
BREAST::Male_Tumors::Epithelial::Gynecomastia,Breast::Male_Tumors::Epithelial::Gynecomastia,100,accepted,who,
BREAST::Mesenchymal::Adipocytic_Tumors::Angiolipoma,Breast::Mesenchymal::Adipocytic_Tumors::Angiolipoma,100,accepted,who,
BREAST::Mesenchymal::Adipocytic_Tumors::Lipoma,Breast::Mesenchymal::Adipocytic_Tumors::Lipoma,100,accepted,who,
BREAST::Mesenchymal::Fibroblastic_Tumors::Desmoid_Fibromatosis,Breast::Mesenchymal::Fibroblastic_Tumors::Desmoid_Fibromatosis,100,accepted,who,
BREAST::Mesenchymal::Fibroblastic_Tumors::Inflammatory_Myofibroblastic_Tumor,Breast::Mesenchymal::Fibroblastic_Tumors::Inflammatory_Myofibroblastic_Tumor,100,accepted,who,
BREAST::Mesenchymal::Fibroblastic_Tumors::Myofibroblastoma,Breast::Mesenchymal::Fibroblastic_Tumors::Myofibroblastoma,100,accepted,who,
BREAST::Mesenchymal::Fibroblastic_Tumors::Nodular_Fasciitis,Breast::Mesenchymal::Fibroblastic_Tumors::Nodular_Fasciitis,100,accepted,who,
BREAST::Mesenchymal::Nerve_Tumors::Granular_Cell_Tumor,Breast::Mesenchymal::Nerve_Tumors::Granular_Cell_Tumor,100,accepted,who,
BREAST::Mesenchymal::Nerve_Tumors::Neurofibroma,Breast::Mesenchymal::Nerve_Tumors::Neurofibroma,100,accepted,who,
BREAST::Mesenchymal::Nerve_Tumors::Schwannoma,Breast::Mesenchymal::Nerve_Tumors::Schwannoma,100,accepted,who,
BREAST::Mesenchymal::Other_Mesenchymal::Pseudoangiomatous_Stromal_Hyperplasia,Breast::Mesenchymal::Other_Mesenchymal::Pseudoangiomatous_Stromal_Hyperplasia,100,accepted,who,
BREAST::Mesenchymal::Smooth_Tumors::Leiomyoma,Breast::Mesenchymal::Smooth_Tumors::Leiomyoma,100,accepted,who,
BREAST::Mesenchymal::Smooth_Tumors::Leiomyosarcoma,Breast::Mesenchymal::Smooth_Tumors::Leiomyosarcoma,100,accepted,who,
BREAST::Mesenchymal::Vascular_Tumors::Angiomatosis,Breast::Mesenchymal::Vascular_Tumors::Angiomatosis,100,accepted,who,
BREAST::Mesenchymal::Vascular_Tumors::Atypical_Vascular_Lesions,Breast::Mesenchymal::Vascular_Tumors::Atypical_Vascular_Lesions,100,accepted,who,
BREAST::Mesenchymal::Vascular_Tumors::Hemangioma,Breast::Mesenchymal::Vascular_Tumors::Hemangioma,100,accepted,who,
BREAST::Mesenchymal::Vascular_Tumors::Primary_Angiosarcoma_of_the_Breast,Breast::Mesenchymal::Vascular_Tumors::Primary_Angiosarcoma_of_the_Breast,100,accepted,who,
BREAST::Nipple_Tumors::Epithelial::Nipple_Adenoma,Breast::Nipple_Tumors::Epithelial::Nipple_Adenoma,100,accepted,who,
BREAST::Nipple_Tumors::Epithelial::Paget_Disease_of_the_Breast,Breast::Nipple_Tumors::Epithelial::Paget_Disease_of_the_Breast,100,accepted,who,
BREAST::Nipple_Tumors::Epithelial::Syringomatous_Tumor,Breast::Nipple_Tumors::Epithelial::Syringomatous_Tumor,100,accepted,who,
BST::Bone::Chondrogenic::Bizarre_Parosteal_Osteochondromatous_Proliferation,BST::Bone::Chondrogenic::Benign::Bizarre_Parosteal_Osteochondromatous_Proliferation,95,accepted,who,
BST::Bone::Chondrogenic::Chondroblastoma,BST::Bone::Chondrogenic::Benign::Chondroblastoma,91,accepted,who,
BST::Bone::Chondrogenic::Chondromyxoid_Fibroma,BST::Bone::Chondrogenic::Benign::Chondromyxoid_Fibroma,92,accepted,who,
BST::Bone::Chondrogenic::Clear_Cell_Chondrosarcoma,BST::Bone::Chondrogenic::Benign::Enchondroma,77,rejected,who,
BST::Bone::Chondrogenic::Osteochondromyxoma,BST::Bone::Chondrogenic::Benign::Osteochondromyxoma,91,accepted,who,
BST::Bone::Chondrogenic::Periosteal_Chondroma,BST::Bone::Chondrogenic::Benign::Periosteal_Chondroma,92,accepted,who,
BST::Bone::Chondrogenic::Periosteal_Chondrosarcoma,BST::Bone::Chondrogenic::Benign::Periosteal_Chondroma,87,review,who,
BST::Bone::Chondrogenic::Secondary_Peripheral_Atypical_Cartilaginous_Tumor_Chondrosarcoma_Grade_1,BST::Bone::Chondrogenic::Intermediate::Atypical_Cartilaginous_Tumor,71,rejected,who,
BST::Bone::Chondrogenic::Secondary_Peripheral_Chondrosarcoma_Grades_2_and_3,BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Grade_2_3,76,rejected,who,
BST::Bone::Chondrogenic::Subungual_Exostosis,BST::Bone::Chondrogenic::Benign::Subungual_Exostosis,92,accepted,who,
BST::Bone::Chondrogenic::Synovial_Chondromatosis,BST::Bone::Chondrogenic::Benign::Synovial_Chondromatosis,92,accepted,who,
BST::Bone::Fibrogenic::Desmoplastic_Fibroma_of_Bone,BST::Bone::Fibrogenic::Benign::Desmoplastic_Fibroma,84,review,who,
BST::Bone::Fibrogenic::Fibrosarcoma_of_Bone,BST::Bone::Fibrogenic::Malignant::Fibrosarcoma_Of_Bone,89,review,who,
BST::Bone::Giant_Cell_Rich::Aneurysmal_Bone_Cyst,BST::Bone::Giant_Cell::Benign::Aneurysmal_Bone_Cyst,89,review,who,
BST::Bone::Giant_Cell_Rich::Non_Ossifying_Fibroma,BST::Bone::Fibrogenic::Benign::Non_Ossifying_Fibroma,75,rejected,who,
BST::Bone::Hematopoietic::Erdheim_Chester_Disease,BST::Bone::Hematolymphoid::Intermediate::Erdheim_Chester_Disease,83,review,who,
BST::Bone::Hematopoietic::Langerhans_Cell_Histiocytosis,BST::Bone::Hematolymphoid::Intermediate::Langerhans_Cell_Histiocytosis,85,review,who,
BST::Bone::Hematopoietic::Rosai_Dorfman_Disease,BST::Bone::Hematolymphoid::Intermediate::Rosai_Dorfman_Disease,83,review,who,
BST::Bone::Hematopoietic::Solitary_Plasmacytoma_of_Bone,BST::Bone::Hematolymphoid::Malignant::Solitary_Plasmacytoma,77,rejected,who,
BST::Bone::Notochordal::Benign_Notochordal_Cell_Tumor,BST::Bone::Notochordal::Benign::Benign_Notochordal_Cell_Tumor,93,accepted,who,
BST::Bone::Notochordal::Dedifferentiated_Chordoma,BST::Bone::Notochordal::Malignant::Chordoma_Dedifferentiated,73,rejected,who,
BST::Bone::Notochordal::Poorly_Differentiated_Chordoma,BST::Bone::Notochordal::Malignant::Chordoma_Poorly_Differentiated,76,rejected,who,
BST::Bone::Osteogenic::High_Grade_Surface_Osteosarcoma,BST::Bone::Osteogenic::Benign::Osteoma,70,rejected,who,
BST::Bone::Osteogenic::Low_Grade_Central_Osteosarcoma,BST::Bone::Osteogenic::Malignant::Osteosarcoma_Parosteal,73,rejected,who,
BST::Bone::Osteogenic::Osteoid_Osteoma,BST::Bone::Osteogenic::Benign::Osteoid_Osteoma,90,accepted,who,
BST::Bone::Osteogenic::Osteoma,BST::Bone::Osteogenic::Benign::Osteoma,88,review,who,
BST::Bone::Other_Mesenchymal::Bone_Metastases,BST::Bone::Other::Benign::Simple_Bone_Cyst,62,rejected,who,
BST::Bone::Other_Mesenchymal::Chondromesenchymal_Hamartoma_of_Chest_Wall,BST::Bone::Other::Benign::Chondromesenchymal_Hamartoma,76,rejected,who,
BST::Bone::Other_Mesenchymal::Fibrocartilaginous_Mesenchymoma,BST::Bone::Chondrogenic::Intermediate::Atypical_Cartilaginous_Tumor,58,rejected,who,
BST::Bone::Other_Mesenchymal::Fibrous_Dysplasia,BST::Bone::Other::Benign::Fibrous_Dysplasia,82,review,who,
BST::Bone::Other_Mesenchymal::Leiomyosarcoma_of_Bone,BST::Bone::Other::Malignant::Leiomyosarcoma_Of_Bone,83,review,who,
BST::Bone::Other_Mesenchymal::Lipoma_and_Hibernoma_of_Bone,BST::Bone::Other::Malignant::Leiomyosarcoma_Of_Bone,70,rejected,who,
BST::Bone::Other_Mesenchymal::Osteofibrous_Dysplasia,BST::Bone::Other::Benign::Osteofibrous_Dysplasia,84,review,who,
BST::Bone::Other_Mesenchymal::Simple_Bone_Cyst,BST::Bone::Other::Benign::Simple_Bone_Cyst,82,review,who,
BST::Bone::Vascular::Angiosarcoma_of_Bone,BST::Bone::Vascular::Malignant::Angiosarcoma_Of_Bone,88,review,who,
BST::Bone::Vascular::Hemangioma_of_Bone,BST::Bone::Vascular::Benign::Hemangioma_Of_Bone,91,accepted,who,
BST::Round_Cell_Sarcomas::CIC_Rearranged_Sarcoma,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Sarcoma_CIC_Rearranged,48,rejected,who,
BST::Round_Cell_Sarcomas::Ewing_Sarcoma,BST::Bone::Other::Malignant::Ewing_Sarcoma,57,rejected,who,
BST::Round_Cell_Sarcomas::Sarcoma_with_BCOR_Genetic_Alterations,BST::Bone::Vascular::Malignant::Angiosarcoma_Of_Bone,47,rejected,who,
BST::Soft_Tissue::Adipocytic::Angiolipoma,BST::Soft_Tissue::Adipocytic::Benign::Angiolipoma,91,accepted,who,
BST::Soft_Tissue::Adipocytic::Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor,BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor,92,accepted,who,
BST::Soft_Tissue::Adipocytic::Chondroid_Lipoma,BST::Soft_Tissue::Adipocytic::Benign::Angiolipoma,78,rejected,who,
BST::Soft_Tissue::Adipocytic::Hibernoma,BST::Soft_Tissue::Adipocytic::Benign::Hibernoma,91,accepted,who,
