video_id,lecture_title,primary_tag,topic_label,entity_name,confidence,tag_score,tag_margin,tag_runner_up,start_sec,end_sec,start_label,end_label,duration_sec,video_time_url,tag_status,excerpt
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing,Undifferentiated Round Cell Sarcoma Ewing,Undifferentiated_Round_Cell_Sarcoma_Ewing,high,0.6602,0.0695,BST::Round_Cell_Sarcomas::Ewing_Sarcoma,2344.16,2484.0,39:04,41:24,139.84,https://www.youtube.com/watch?v=NOmOHTh-vtY&t=2344s,semantic_gated_v0_2,"So you may see WT1 expression. If you are in an adult and you see a small round blue cell tumor, you are certainly also going to think about things like carcinoma, melanoma, lymphoma. I'm not even putting on there your things like small cell osteosarc, round cell liposarc. These are all things that can come up in the differential. As well as Ewing's like sarcomas, which depending on whether you're in soft tissue or b"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Malignant::Angiosarcoma,Angiosarcoma,Angiosarcoma,high,0.7148,0.0602,BST::Bone::Vascular::Malignant::Angiosarcoma_Of_Bone,2312.24,2419.12,38:32,40:19,106.88,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=2312.24,2419.12",semantic_gated_v0_2,"Angiosarcoma in the skin tends to be one of those tumors, so if you're not used to looking for them, you might just look at the slide and think there's nothing going on. So that should scare you, right? Because you just got an excision of a lesion and you're not seeing anything. Well, the reason you're seeing it low power is because angiosarcoma is really highly infiltrative. It doesn't form a mass. All the blue here"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,Atypical Lipomatous Tumor Well Differentiated Liposarcoma,Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,high,0.7891,0.0909,BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor,2998.64,3128.56,49:59,52:09,129.92,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=2998.64,3128.56",semantic_gated_v0_2,"The terms atypical lipomatous tumor and well-differentiated liposarcoma mean the same thing. These are the same tumor, but we use the terms depending on where the tumor is located. So if it is in a deep location, retroperitoneum, or scrotum, those tumors have a higher occurrence risk, are difficult to control, and have a higher risk of transformation to a higher grade, or so-called de-differentiated liposarcoma. So i"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma,Lobular Capillary Hemangioma,Lobular_Capillary_Hemangioma,high,0.6796,0.1073,BST::Soft_Tissue::Vascular::Benign::Microvenular_Hemangioma,1382.64,1492.16,23:03,24:52,109.52,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=1382.64,1492.16",semantic_gated_v0_2,"It's called a strawberry nevus clinically because it's bright red like a strawberry. It's a birthmark that kids are usually born with. Many of these will regress, although not necessarily completely, and they can also produce quite a scar when they regress. So there will often still be surgery done, plastic surgery done for these to manage them and to try to minimize the aesthetic impact. Microscopically, they follow"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma,Lobular Capillary Hemangioma,Lobular_Capillary_Hemangioma,high,0.6818,0.0858,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Epithelioid,1718.56,1846.08,28:39,30:46,127.52,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=1718.56,1846.08",semantic_gated_v0_2,"Infantile, congenital, and lobular capillary hemangioma. You have a single layer of endothelial cells, usually with a layer of pericytes below them. You sometimes need to use muscle actin to see the pericytes because, much like in the prostate, it's hard to distinguish basal cells from epithelial cells. The two cell types are quite small and pressed against each other. However, there is no stratification or infiltrat"
BST_Lecture_4_SoftTissue3,BST Lecture 4 SoftTissue3,BST::Soft_Tissue::Uncertain_Diff::Malignant::Extraskeletal_Myxoid_Chondrosarcoma,Extraskeletal Myxoid Chondrosarcoma,Extraskeletal_Myxoid_Chondrosarcoma,high,0.6939,0.0731,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing,3577.16,3682.52,59:37,1:01:23,105.36,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_4_SoftTissue3.mp4#t=3577.16,3682.52",semantic_gated_v0_2,"They look a little myoepithelial, perhaps, which is actually one of the main things in the differential. If I told you this thing on the right was in the salivary gland, you might think, ""Yeah, you know, maybe PA, you know, something that might go in that category."" You'd be thinking that because this tumor looks a lot like that. It's a translocation tumor, so monotonous, same cell over and over again. This was from "
BST_Lecture_5_Bone1,BST Lecture 5 Bone1,BST::Bone::Reactive::Metabolic::Paget_Disease,Paget Disease,Paget_Disease,high,0.725,0.1213,BST::Bone::Depositional_Metabolic::Metabolic::Common_Metabolic_Bone_Disorders,3359.08,3489.2,55:59,58:09,130.12,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_5_Bone1.mp4#t=3359.08,3489.2",semantic_gated_v0_2,"Paget's disease of bone is one of the most common bone lesions seen in adults. It is not a neoplasm, nor is it technically a metabolic disease because it is not ongoing. Patients with Paget's disease do not develop new lesions after the initial diagnosis; existing lesions remain the only ones they will ever have. It is likely related to both an autoimmune process and potentially an infection. The pathology of the dis"
BST_Lecture_5_Bone1,BST Lecture 5 Bone1,BST::Bone::Reactive::Metabolic::Paget_Disease,Paget Disease,Paget_Disease,high,0.6863,0.1176,BST::Bone::Chondrogenic::Bizarre_Parosteal_Osteochondromatous_Proliferation,3490.48,3619.52,58:10,1:00:20,129.04,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_5_Bone1.mp4#t=3490.48,3619.52",semantic_gated_v0_2,"Paget's disease is predominantly a mixture of both woven and lamellar bone, but it's predominantly woven. You get increased amounts of the bone, with even the lamellar having a more woven, haphazard appearance. This is the mid-phase, which occasionally will catch. This is indistinguishable from hyperparathyroidism or renal failure in any state where the body is demanding more calcium, causing increased turnover, thus"
BST_Lecture_6_Bone2,BST Lecture 6 Bone2,BST::Syndromes::Predisposition::Skeletal::Enchondromatosis_Ollier_Maffucci,Enchondromatosis Ollier Maffucci,Enchondromatosis_Ollier_Maffucci,high,0.6912,0.0694,BST::Syndromes::Predisposition::Skeletal::Multiple_Osteochondromas,908.0,1016.08,15:08,16:56,108.08,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_6_Bone2.mp4#t=908,1016.08",semantic_gated_v0_2,"Ollier or Maffucci syndrome presents with multiple lytic lesions, some expanding, involving multiple fingers and phalanges. These lesions, characteristic of cartilage tumors, appear radiographically as soap bubbles or cumulus clouds. The presence of an enchondroma indicates Maffucci syndrome, but further investigation is needed to determine if other tumors are present. This is a high-grade cartilage tumor in the phal"
BST_Lecture_6_Bone2,BST Lecture 6 Bone2,BST::Bone::Chondrogenic::Secondary_Peripheral_Atypical_Cartilaginous_Tumor_Chondrosarcoma_Grade_1,Secondary Peripheral Atypical Cartilaginous Tumor Chondrosarcoma Grade 1,Secondary_Peripheral_Atypical_Cartilaginous_Tumor_Chondrosarcoma_Grade_1,high,0.7151,0.061,BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Clear_Cell,672.96,793.12,11:13,13:13,120.16,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_6_Bone2.mp4#t=672.96,793.12",semantic_gated_v0_2,"How are cartilage tumors treated? These are some of the tumors we're going to talk about today. The most common type is low-grade or grade one chondrosarcoma, which is also known as an atypical cartilaginous tumor, exactly analogous to well-differentiated liposarcoma and atypical lipominous tumor. If you remember those two tumors, biologically, the underlying pathology is the same, but pathogenesis is the same. The a"
