video_id,title,root,package_id,high_confidence_segment_count,all_gated_segment_count,topic_count,video_url,high_confidence_topic_tags
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST,yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty_v0_1,1,6,6,https://www.youtube.com/watch?v=NOmOHTh-vtY,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing
BST_Lecture_1_Grossing,BST Lecture 1 Grossing,BST,bst_lecture_1_grossing_v0_1,0,2,1,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_1_Grossing.mp4,
BST_Lecture_2_SoftTissue1,BST Lecture 2 SoftTissue1,BST,bst_lecture_2_softtissue1_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_2_SoftTissue1.mp4,
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST,bst_lecture_3_softissue2_v0_1,4,7,5,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4,BST::Soft_Tissue::Vascular::Malignant::Angiosarcoma | BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma | BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma
BST_Lecture_4_SoftTissue3,BST Lecture 4 SoftTissue3,BST,bst_lecture_4_softtissue3_v0_1,1,10,6,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_4_SoftTissue3.mp4,BST::Soft_Tissue::Uncertain_Diff::Malignant::Extraskeletal_Myxoid_Chondrosarcoma
BST_Lecture_5_Bone1,BST Lecture 5 Bone1,BST,bst_lecture_5_bone1_v0_1,2,8,5,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_5_Bone1.mp4,BST::Bone::Reactive::Metabolic::Paget_Disease
BST_Lecture_6_Bone2,BST Lecture 6 Bone2,BST,bst_lecture_6_bone2_v0_1,2,9,5,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_6_Bone2.mp4,BST::Syndromes::Predisposition::Skeletal::Enchondromatosis_Ollier_Maffucci | BST::Bone::Chondrogenic::Secondary_Peripheral_Atypical_Cartilaginous_Tumor_Chondrosarcoma_Grade_1
Breast_Lecture_Epithelial Part 1_Chen,Breast Lecture Epithelial,Breast,breast_lecture_epithelial_v0_1,4,25,6,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Epithelial%20Part%201_Chen.mp4,Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS
Breast_Lecture_Fibroepithelial,Breast Lecture Fibroepithelial,Breast,breast_lecture_fibroepithelial_v0_1,8,18,7,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Fibroepithelial.mp4,Breast::Neoplastic::Mesenchymal::Low_Grade::Angiomyxoma | Breast::Neoplastic::Fibroepithelial::Benign::Juvenile_Fibroadenoma | Breast::Congenital_Structural::Hamartoma::Mammary_Hamartoma | Breast::Neoplastic::Fibroepithelial::Variable_Behavior::Phyllodes_Tumor
Breast_Lecture_Grossing,Breast Lecture Grossing,Breast,breast_lecture_grossing_v0_1,1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Grossing.mp4,Breast::Neoplastic::Fibroepithelial::Variable_Behavior::Phyllodes_Tumor
Breast_Lecture_IHC,Breast Lecture IHC,Breast,breast_lecture_ihc_v0_1,0,6,4,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_IHC.mp4,
Breast_Lecture_Invasive,Breast Lecture Invasive,Breast,breast_lecture_invasive_v0_1,2,5,2,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Invasive.mp4,Breast::Neoplastic::Epithelial::Malignant::Invasive_Lobular_Carcinoma | Breast::Neoplastic::Epithelial::Malignant::Mucinous_Carcinoma
Breast_Lecture_Lobular,Breast Lecture Lobular,Breast,breast_lecture_lobular_v0_1,8,20,3,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Lobular.mp4,Breast::Neoplastic::Epithelial::Precursor::Atypical_Lobular_Hyperplasia_ALH | Breast::Neoplastic::Epithelial::In_Situ::Lobular_Carcinoma_In_Situ_LCIS
Breast_Lecture_Papillary,Breast Lecture Papillary,Breast,breast_lecture_papillary_v0_1,4,12,5,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Papillary.mp4,Breast::Neoplastic::Epithelial::Malignant::Encapsulated_Papillary_Carcinoma | Breast::Epithelial::Papillary_Neoplasms::Invasive_Papillary_Carcinoma
Breast_Lecture_Prognostics,Breast Lecture Prognostics,Breast,breast_lecture_prognostics_v0_1,0,3,3,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Prognostics.mp4,
Breast_Lecture_Rad-Path,Breast Lecture Rad-Path,Breast,breast_lecture_rad_path_v0_1,1,10,8,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Rad-Path.mp4,Breast::Inflammatory::Reactive::Mucocele_Like_Lesion
Breast_Lecture_SpindleCell,Breast Lecture SpindleCell,Breast,breast_lecture_spindlecell_v0_1,3,15,3,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_SpindleCell.mp4,Breast::Neoplastic::Fibroepithelial::Variable_Behavior::Phyllodes_Tumor
Breast_Lecture_Treated,Breast Lecture Treated,Breast,breast_lecture_treated_v0_1,0,2,1,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Treated.mp4,
YT_Cyto_Cervical_Goulart,YT Cyto Cervical Goulart,Cytopathology,yt_cyto_cervical_goulart_v0_1,0,3,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Cervical_Goulart.mp4,
YT_Cyto_Cervix_Giovanni,YT Cyto Cervix Giovanni,Cytopathology,yt_cyto_cervix_giovanni_v0_1,1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Cervix_Giovanni.mp4,Cyto_GYN::Squamous::Atypical_Squamous_Cells_Undetermined_Significance_ASCUS
YT_Cyto_Lung_Lozano,YT Cyto Lung Lozano,Cytopathology,yt_cyto_lung_lozano_v0_1,1,9,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lung_Lozano.mp4,Cyto_Management::Technique::Rapid_On_Site_Evaluation_ROSE
YT_Cyto_Lung_Schmitt,YT Cyto Lung Schmitt,Cytopathology,yt_cyto_lung_schmitt_v0_1,1,4,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lung_Schmitt.mp4,Cyto_Management::Technique::Endoscopic_Ultrasound_Guided_Fine_Needle_Aspiration_EUS_FNA
YT_Cyto_Lymph_Kloboves,YT Cyto Lymph Kloboves,Cytopathology,yt_cyto_lymph_kloboves_v0_1,3,8,7,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lymph_Kloboves.mp4,Cyto_Heme::Malignant::B_Cell_Small::Follicular_Lymphoma_Low_Grade | Cyto_Heme::Malignant::Hodgkin::Nodular_Lymphocyte_Predominant_HL | Cyto_Salivary::Pattern::Epithelial_Proliferation_With_Lymphoid_Background
YT_Cyto_Lymph_WHO_Field,YT Cyto Lymph WHO Field,Cytopathology,yt_cyto_lymph_who_field_v0_1,0,4,3,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lymph_WHO_Field.mp4,
YT_Cyto_Pancreas_Cyst_Pitman,YT Cyto Pancreas Cyst Pitman,Cytopathology,yt_cyto_pancreas_cyst_pitman_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Pancreas_Cyst_Pitman.mp4,
YT_Cyto_Pancreas_Reid,YT Cyto Pancreas Reid,Cytopathology,yt_cyto_pancreas_reid_v0_1,4,10,7,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Pancreas_Reid.mp4,Cyto_Pancreatobiliary::Malignant::Ductal::Pancreatic_Ductal_Adenocarcinoma_Foamy_Gland | Cyto_Pancreatobiliary::Malignant::Ductal::Pancreatic_Ductal_Adenocarcinoma_Osteoclast_Giant_Cells | Cyto_Pancreatobiliary::Malignant::Solid_Pseudopapillary_Neoplasm | Cyto_Pancreatobiliary::Malignant::Solid_Pseudopapillary::Solid_Pseudopapillary_Neoplasm_SPN
YT_Cyto_Paris_Bubendorf,YT Cyto Paris Bubendorf,Cytopathology,yt_cyto_paris_bubendorf_v0_1,5,11,8,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Paris_Bubendorf.mp4,Cyto_Urinary::Category::Atypical_Urothelial_Cells_AUC | Cyto_Urinary::Pattern::Degenerated_Atypical_Cells | Cyto_Urinary::Category::Low_Grade_Urothelial_Neoplasm_LGUN | Cyto_Urinary::Infectious::Viral::Polyomavirus_Decoy_Cells | Cyto_Urinary::Category::Suspicious_For_High_Grade_Urothelial_Carcinoma_SHGUC
YT_Cyto_Peds_Barroca,YT Cyto Peds Barroca,Cytopathology,yt_cyto_peds_barroca_v0_1,2,5,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Peds_Barroca.mp4,Cyto_Kidney::Malignant::Pediatric::Wilms_Tumor_Nephroblastoma
YT_Cyto_Salivary_Chen,YT Cyto Salivary Chen,Cytopathology,yt_cyto_salivary_chen_v0_1,1,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Salivary_Chen.mp4,Cyto_Salivary::NonNeoplastic::Reactive::Intraparotid_Lymph_Node
YT_Cyto_Salivary_Faquin,YT Cyto Salivary Faquin,Cytopathology,yt_cyto_salivary_faquin_v0_1,0,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Salivary_Faquin.mp4,
YT_Cyto_Serous_Chandra,YT Cyto Serous Chandra,Cytopathology,yt_cyto_serous_chandra_v0_1,0,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Serous_Chandra.mp4,
YT_Cyto_Thyroid_Bongiovanni,YT Cyto Thyroid Bongiovanni,Cytopathology,yt_cyto_thyroid_bongiovanni_v0_1,1,10,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Thyroid_Bongiovanni.mp4,Cyto_Thyroid::Intermediate::Noninvasive_Follicular_Thyroid_Neoplasm_NIFTP
YT_Cyto_Thyroid_Nishino,YT Cyto Thyroid Nishino,Cytopathology,yt_cyto_thyroid_nishino_v0_1,1,8,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Thyroid_Nishino.mp4,Cyto_Thyroid::Category::Atypia_Undetermined_Significance_AUS_FLUS
YT_Cyto_Thyroid_Rossi,YT Cyto Thyroid Rossi,Cytopathology,yt_cyto_thyroid_rossi_v0_1,2,5,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Thyroid_Rossi.mp4,Cyto_Thyroid::Intermediate::Noninvasive_Follicular_Thyroid_Neoplasm_NIFTP
GI_Lecture_0_Gross_Liver,GI Lecture 0 Gross Liver,GI,gi_lecture_0_gross_liver_v0_1,0,3,1,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_0_Gross_Liver.mp4,
GI_Lecture_1_Liver1,GI Lecture 1 Liver1,GI,gi_lecture_1_liver1_v0_1,0,3,3,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_1_Liver1.mp4,
GI_Lecture_10_Colon,GI Lecture 10 Colon,GI,gi_lecture_10_colon_v0_1,6,10,8,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_10_Colon.mp4,GI::Colon::Congenital_Structural::Structural::Colonic_Solitary_Rectal_Ulcer_SyndROME_Prolapse | GI::Colon::Polyp::Serrated::Colorectal_Hyperplastic_Polyp_Overview | GI::Syndrome::Polyposis::Adenomatous::Familial_Adenomatous_Polyposis_APC | GI::Colon::Polyp::Hamartoma::Juvenile_Polyp | GI::Syndrome::Polyposis::Hamartomatous::Juvenile_Polyposis_Syndrome | GI::Small_Intestine::Polyp::Hamartoma::Small_Intestinal_Peutz_Jeghers_Type_Polyp
GI_Lecture_11_Esophagus,GI Lecture 11 Esophagus,GI,gi_lecture_11_esophagus_v0_1,1,6,3,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_11_Esophagus.mp4,GI::Esophagus::Inflammatory::Esophagitis::Esophageal_Eosinophilic_Esophagitis
GI_Lecture_12_SmallIntestine,GI Lecture 12 SmallIntestine,GI,gi_lecture_12_smallintestine_v0_1,0,10,8,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_12_SmallIntestine.mp4,
GI_Lecture_13_Stomach2,GI Lecture 13 Stomach2,GI,gi_lecture_13_stomach2_v0_1,4,13,8,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_13_Stomach2.mp4,GI::Stomach::Inflammatory::Gastritis::Gastric_Chronic_Helicobacter_Pylori_Gastritis | GI::Stomach::Inflammatory::Gastritis::Gastric_Eosinophilic_Gastritis | GI::Stomach::Neoplastic::Neuroendocrine::Gastric_Neuroendocrine_Tumor_Type_1_Autoimmune
GI_Lecture_2_Liver2,GI Lecture 2 Liver2,GI,gi_lecture_2_liver2_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_2_Liver2.mp4,
GI_Lecture_3_Liver3,GI Lecture 3 Liver3,GI,gi_lecture_3_liver3_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_3_Liver3.mp4,
GI_Lecture_4_Peds1,GI Lecture 4 Peds1,GI,gi_lecture_4_peds1_v0_1,3,7,2,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_4_Peds1.mp4,GI::Colon::Congenital_Structural::Aganglionosis::Colonic_Hirschsprung_Disease | GI::Small_Intestine::Congenital_Structural::Mechanical::Microvillus_Inclusion_Disease
