video_id,title,root,package_id,topic_count,segment_count,video_url,topic_tags
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST,yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty_v0_1,6,6,https://www.youtube.com/watch?v=NOmOHTh-vtY,BST::Soft_Tissue::Uncertain_Diff::Myoepithelioma_Myoepithelial_Carcinoma_and_Mixed_Tumor | BST::Bone::Giant_Cell_Rich::Non_Ossifying_Fibroma | BST::Soft_Tissue::Skeletal_Muscle::Benign::Rhabdomyoma_Adult | BST::Soft_Tissue::Nerve_Sheath::Benign::Schwannoma_Plexiform | BST::Soft_Tissue::Uncertain_Diff::Malignant::Synovial_Sarcoma_Monophasic | BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing
BST_Lecture_1_Grossing,BST Lecture 1 Grossing,BST,bst_lecture_1_grossing_v0_1,1,2,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_1_Grossing.mp4,BST::Bone::Normal_Histology::Radiologic_Approach_To_Bone_Tumors
BST_Lecture_2_SoftTissue1,BST Lecture 2 SoftTissue1,BST,bst_lecture_2_softtissue1_v0_1,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_2_SoftTissue1.mp4,BST::Soft_Tissue::Fibroblastic::Proliferative_Fasciitis_and_Proliferative_Myositis
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST,bst_lecture_3_softissue2_v0_1,5,7,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4,BST::Soft_Tissue::Vascular::Malignant::Angiosarcoma | BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma | BST::Soft_Tissue::Vascular::Malignant::Epithelioid_Hemangioendothelioma | BST::Soft_Tissue::Vascular::Benign::Hemangioma_Epithelioid | BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma
BST_Lecture_4_SoftTissue3,BST Lecture 4 SoftTissue3,BST,bst_lecture_4_softtissue3_v0_1,6,10,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_4_SoftTissue3.mp4,BST::Soft_Tissue::Skeletal_Muscle::Malignant::Alveolar_Rhabdomyosarcoma | BST::Soft_Tissue::Smooth_Muscle::Benign::Cutaneous_Leiomyoma | BST::Soft_Tissue::Fibroblastic::Malignant::Dermatofibrosarcoma_Protuberans_Fibrosarcomatous | BST::Soft_Tissue::Fibroblastic::Intermediate::Desmoid_Type_Fibromatosis | BST::Soft_Tissue::Uncertain_Diff::Malignant::Extraskeletal_Myxoid_Chondrosarcoma | BST::Soft_Tissue::Fibroblastic::Malignant::Myxofibrosarcoma
BST_Lecture_5_Bone1,BST Lecture 5 Bone1,BST,bst_lecture_5_bone1_v0_1,5,8,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_5_Bone1.mp4,BST::Bone::Reactive::Infectious::Osteomyelitis_Acute | BST::Bone::Reactive::Infectious::Osteomyelitis_Chronic | BST::Bone::Osteogenic::Malignant::Osteosarcoma_Periosteal | BST::Bone::Reactive::Metabolic::Paget_Disease | BST::Bone::Normal_Histology::Radiologic_Approach_To_Bone_Tumors
BST_Lecture_6_Bone2,BST Lecture 6 Bone2,BST,bst_lecture_6_bone2_v0_1,5,9,https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_6_Bone2.mp4,BST::Bone::Chondrogenic::Benign::Enchondroma | BST::Syndromes::Predisposition::Skeletal::Enchondromatosis_Ollier_Maffucci | BST::Bone::Reactive::Structural::Fracture_Callus | BST::Bone::Chondrogenic::Secondary_Peripheral_Atypical_Cartilaginous_Tumor_Chondrosarcoma_Grade_1 | BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing
Breast_Lecture_Epithelial Part 1_Chen,Breast Lecture Epithelial,Breast,breast_lecture_epithelial_v0_1,6,25,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Epithelial%20Part%201_Chen.mp4,Breast::Neoplastic::Epithelial::Precursor::Atypical_Ductal_Hyperplasia_ADH | Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS | Breast::Congenital_Structural::Cyst::Fibrocystic_Changes | Breast::Neoplastic::Epithelial::Precursor::Flat_Epithelial_Atypia | Breast::Neoplastic::Epithelial::In_Situ::Lobular_Carcinoma_In_Situ_LCIS | Breast::Neoplastic::Epithelial::Benign::Usual_Ductal_Hyperplasia_UDH
Breast_Lecture_Fibroepithelial,Breast Lecture Fibroepithelial,Breast,breast_lecture_fibroepithelial_v0_1,7,18,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Fibroepithelial.mp4,Breast::Neoplastic::Mesenchymal::Low_Grade::Angiomyxoma | Breast::Neoplastic::Fibroepithelial::Benign::Cellular_Fibroadenoma | Breast::Neoplastic::Fibroepithelial::Benign::Juvenile_Fibroadenoma | Breast::Neoplastic::Mesenchymal::Malignant::Liposarcoma | Breast::Congenital_Structural::Hamartoma::Mammary_Hamartoma | Breast::Neoplastic::Metastatic::Malignant::Metastasis_To_Breast | Breast::Neoplastic::Fibroepithelial::Variable_Behavior::Phyllodes_Tumor
Breast_Lecture_Grossing,Breast Lecture Grossing,Breast,breast_lecture_grossing_v0_1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Grossing.mp4,Breast::Congenital_Structural::Cyst::Fibrocystic_Changes | Breast::Neoplastic::Fibroepithelial::Variable_Behavior::Phyllodes_Tumor
