canonical_tag,display_label,root_id,root_label,subcategory_label,provenance,study_query,dedupe_key,merged_alias_count,merged_alias_tags
BST::Bone::Chondrogenic::Benign::Bizarre_Parosteal_Osteochondromatous_Proliferation,Bizarre_Parosteal_Osteochondromatous_Proliferation,bst,BST,Bone,abpath,Bizarre Parosteal Osteochondromatous Proliferation,bst::bizarre_parosteal_osteochondromatous_proliferation,1,BST::Bone::Chondrogenic::Bizarre_Parosteal_Osteochondromatous_Proliferation
BST::Bone::Chondrogenic::Benign::Chondroblastoma,Chondroblastoma,bst,BST,Bone,abpath,Chondroblastoma,bst::chondroblastoma,1,BST::Bone::Chondrogenic::Chondroblastoma
BST::Bone::Chondrogenic::Benign::Chondromyxoid_Fibroma,Chondromyxoid_Fibroma,bst,BST,Bone,abpath,Chondromyxoid Fibroma,bst::chondromyxoid_fibroma,1,BST::Bone::Chondrogenic::Chondromyxoid_Fibroma
BST::Bone::Chondrogenic::Benign::Enchondroma,Enchondroma,bst,BST,Bone,abpath,Enchondroma,bst::enchondroma,0,
BST::Bone::Chondrogenic::Benign::Osteochondroma,Osteochondroma,bst,BST,Bone,abpath,Osteochondroma,bst::osteochondroma,0,
BST::Bone::Chondrogenic::Benign::Osteochondromyxoma,Osteochondromyxoma,bst,BST,Bone,abpath,Osteochondromyxoma,bst::osteochondromyxoma,1,BST::Bone::Chondrogenic::Osteochondromyxoma
BST::Bone::Chondrogenic::Benign::Periosteal_Chondroma,Periosteal_Chondroma,bst,BST,Bone,abpath,Periosteal Chondroma,bst::periosteal_chondroma,1,BST::Bone::Chondrogenic::Periosteal_Chondroma
BST::Bone::Chondrogenic::Benign::Subungual_Exostosis,Subungual_Exostosis,bst,BST,Bone,abpath,Subungual Exostosis,bst::subungual_exostosis,1,BST::Bone::Chondrogenic::Subungual_Exostosis
BST::Bone::Chondrogenic::Benign::Synovial_Chondromatosis,Synovial_Chondromatosis,bst,BST,Bone,abpath,Synovial Chondromatosis,bst::synovial_chondromatosis,1,BST::Bone::Chondrogenic::Synovial_Chondromatosis
BST::Bone::Chondrogenic::Clear_Cell_Chondrosarcoma,Clear_Cell_Chondrosarcoma,bst,BST,Bone,who,Clear Cell Chondrosarcoma,bst::clear_cell_chondrosarcoma,0,
BST::Bone::Chondrogenic::Intermediate::Atypical_Cartilaginous_Tumor,Atypical_Cartilaginous_Tumor,bst,BST,Bone,abpath,Atypical Cartilaginous Tumor,bst::atypical_cartilaginous_tumor,0,
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Clear_Cell,Chondrosarcoma_Clear_Cell,bst,BST,Bone,abpath,Chondrosarcoma Clear Cell,bst::chondrosarcoma_clear_cell,0,
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Dedifferentiated,Chondrosarcoma_Dedifferentiated,bst,BST,Bone,abpath,Chondrosarcoma Dedifferentiated,bst::chondrosarcoma_dedifferentiated,0,
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Grade_1,Chondrosarcoma_Grade_1,bst,BST,Bone,abpath,Chondrosarcoma Grade 1,bst::chondrosarcoma_grade_1,0,
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Grade_2_3,Chondrosarcoma_Grade_2_3,bst,BST,Bone,abpath,Chondrosarcoma Grade 2 3,bst::chondrosarcoma_grade_2_3,0,
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Mesenchymal,Chondrosarcoma_Mesenchymal,bst,BST,Bone,abpath,Chondrosarcoma Mesenchymal,bst::chondrosarcoma_mesenchymal,0,
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Periosteal,Chondrosarcoma_Periosteal,bst,BST,Bone,abpath,Chondrosarcoma Periosteal,bst::chondrosarcoma_periosteal,0,
BST::Bone::Chondrogenic::Periosteal_Chondrosarcoma,Periosteal_Chondrosarcoma,bst,BST,Bone,who,Periosteal Chondrosarcoma,bst::periosteal_chondrosarcoma,0,
BST::Bone::Chondrogenic::Secondary_Peripheral_Atypical_Cartilaginous_Tumor_Chondrosarcoma_Grade_1,Secondary_Peripheral_Atypical_Cartilaginous_Tumor_Chondrosarcoma_Grade_1,bst,BST,Bone,who,Secondary Peripheral Atypical Cartilaginous Tumor Chondrosarcoma Grade 1,bst::secondary_peripheral_atypical_cartilaginous_tumor_chondrosarcoma_grade_1,0,
BST::Bone::Chondrogenic::Secondary_Peripheral_Chondrosarcoma_Grades_2_and_3,Secondary_Peripheral_Chondrosarcoma_Grades_2_and_3,bst,BST,Bone,who,Secondary Peripheral Chondrosarcoma Grades 2 and 3,bst::secondary_peripheral_chondrosarcoma_grades_2_and_3,0,
BST::Bone::Congenital_Structural::Cyst::Aneurysmal_Bone_Cyst,Aneurysmal_Bone_Cyst,bst,BST,Bone,abpath,Aneurysmal Bone Cyst,bst::aneurysmal_bone_cyst,2,BST::Bone::Giant_Cell::Benign::Aneurysmal_Bone_Cyst|BST::Bone::Giant_Cell_Rich::Aneurysmal_Bone_Cyst
