tag,root,record_count
Skin::Neoplastic::Melanocytic::Malignant::Melanoma_Invasive_Overview_NOS,Skin,1400
Skin::Inflammatory::Interface::Interface_Dermatitis_Overview,Skin,1119
Skin::Inflammatory::Vasculitis::Vasculitis_Overview_NOS,Skin,885
GI::Stomach::Inflammatory::Gastritis::Gastric_Autoimmune_Metaplastic_Atrophic_Gastritis_AMAG,GI,872
GI::Liver::Inflammatory::Viral::Hepatic_EBV_CMV_HSV_Hepatitis,GI,818
Molecular::Solid::Genitourinary::Testicular_Germ_Cell_Tumor,Molecular,806
GI::Small_Intestine::Inflammatory::IBD::Small_Intestinal_Crohn_Disease,GI,783
GI::Colon::Inflammatory::Injury::Colonic_Medication_Induced_Enterocolitis,GI,755
Molecular::Solid::Lung::Non_Small_Cell_Carcinoma,Molecular,694
Skin::Inflammatory::Psoriasiform::Psoriasis_Vulgaris_Plaque,Skin,685
Skin::Neoplastic::Hematolymphoid::Mycosis_Fungoides,Skin,665
Skin::Neoplastic::Epidermal::Malignant::Squamous_Cell_Carcinoma_Invasive_NOS,Skin,617
HN::Oral_Cavity::Inflammatory::Infection,HN,599
GI::Colon::Congenital_Structural::Structural::Colonic_Diverticular_Disease_Overview,GI,595
Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS,Breast,575
GI::Liver::Neoplastic::Benign_Hepatocellular::Focal_Nodular_Hyperplasia,GI,573
Breast::Normal_Histology::Anatomy_And_Histology,Breast,540
Skin::Neoplastic::Hematolymphoid::Cutaneous_Lymphoma_Overview_NOS,Skin,531
GI::Colon::Normal_Histology::Normal_Anatomy,GI,519
Skin::Neoplastic::Epidermal::Malignant::Basal_Cell_Carcinoma_Overview_NOS,Skin,508
GU::Prostate::Additional_Topics::Gleason_Grading,GU::Prostate,504
Breast::Neoplastic::Epithelial::Malignant::Invasive_Breast_Carcinoma_NST,Breast,495
Cyto_Thoracic::Category::Malignant,Cyto_Thoracic,481
Skin::Inflammatory::Psoriasiform::Psoriasiform_Dermatitis_Overview,Skin,477
Molecular::Concept::Variants::Gene_Fusions,Molecular,471
Skin::Infectious::Bacterial::Syphilis_Secondary_Cutaneous,Skin,464
HN::Oral_Cavity::Inflammatory::Pyogenic_Granuloma,HN,462
Skin::Neoplastic::Melanocytic::Benign::Common_Acquired_Nevus_NOS,Skin,461
Skin::Inflammatory::Spongiotic::Spongiotic_Dermatitis_Eczema_Overview,Skin,454
Endo::Thyroid::Neoplastic::Epithelial::Malignant::Papillary_Thyroid_Carcinoma,Endo,442
Skin::Infectious::Bacterial::Folliculitis,Skin,437
GI::Esophagus::Metaplastic::Barrett::Esophageal_Barrett_Mucosa_Overview,GI,436
BST::Bone::Normal_Histology::Radiologic_Approach_To_Bone_Tumors,BST,429
Breast::Neoplastic::Epithelial::In_Situ::Lobular_Carcinoma_In_Situ_LCIS,Breast,429
Skin::Inflammatory::Interface::Lichen_Planus,Skin,426
Skin::Normal_Histology::Epidermis,Skin,424
Cyto_Neuro::Specimen_Type::Cerebrospinal_Fluid_CSF,Cyto_Neuro,416
BST::Bone::Other::Malignant::Metastatic_Carcinoma_Bone,BST,413
Cyto_Heme::Category::Benign,Cyto_Heme,413
GYN::Uterus::Neoplastic::Epithelial::Malignant::Endometrioid_Adenocarcinoma,GYN::Uterus,413
Molecular::Heme::Myeloid::Acute_Myeloid_Leukemia,Molecular,409
HN::Salivary_Gland::Inflammatory::Infection,HN,407
Cyto_GYN::Squamous::High_Grade_Squamous_Intraepithelial_Lesion_HSIL,Cyto_GYN,400
Skin::Neoplastic::Soft_Tissue::Neural::Neurofibroma,Skin,397
HN::Sinonasal::Inflammatory::Infection,HN,393
HN::Larynx_Hypopharynx_Trachea::Carcinoma::Conventional_Squamous_Cell_Carcinoma,HN,388
HN::Larynx_Hypopharynx_Trachea::Precursor::Squamous_Papillomatosis,HN,383
Skin::Inflammatory::Vasculitis::Leukocytoclastic_Vasculitis_LCV,Skin,381
Skin::Normal_Histology::Dermis,Skin,378
BST::Bone::Osteogenic::Benign::Osteoid_Osteoma,BST,373
HN::Oral_Cavity::Inflammatory::Lichen_Planus,HN,368
Skin::Inflammatory::Dermal_Sclerosing::Lichen_Sclerosus_et_Atrophicus,Skin,368
Cyto_Kidney::Malignant::Renal_Pelvis::Adenocarcinoma,Cyto_Kidney,364
GU::Prostate::Glandular_neoplasms::Prostatic_Acinar_Adenocarcinoma,GU::Prostate,364
GI::Liver::Inflammatory::Autoimmune::Hepatic_Autoimmune_Hepatitis_Overlap_Syndromes,GI,360
Skin::Inflammatory::Spongiotic::Allergic_Contact_Dermatitis,Skin,359
Cyto_Heme::Pattern::Mixed_Lymphoid_Cell_Pattern,Cyto_Heme,357
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Conventional,BST,356
Cyto_Thoracic::Malignant::Neuroendocrine::Small_Cell_Lung_Carcinoma,Cyto_Thoracic,352
Molecular::Technique::Cytogenetics::FISH,Molecular,352
Skin::Neoplastic::Melanocytic::Benign::Spitz_Nevus,Skin,336
Skin::Inflammatory::Spongiotic::Atopic_Dermatitis,Skin,330
Skin::Inflammatory::Granulomatous::Granulomatous_Dermatitis_Overview,Skin,329
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Usual,Cyto_GYN,323
Cyto_Thoracic::Category::Nondiagnostic,Cyto_Thoracic,323
Breast::Neoplastic::Epithelial::Precursor::Atypical_Ductal_Hyperplasia_ADH,Breast,315
HN::Salivary_Gland::Malignant_Tumor::Secretory_Carcinoma,HN,314
Skin::Inflammatory::Granulomatous::Sarcoidosis_Cutaneous,Skin,312
Skin::Inflammatory::Blistering::Immunobullous_Dermatosis_Overview,Skin,309
Molecular::Technique::Sequencing::Next_Generation_Sequencing,Molecular,305
GI::Liver::Neoplastic::Metastatic::Metastases_To_Liver,GI,295
GYN::Cervix::Neoplastic::Epithelial::Precursor::Squamous_Intraepithelial_Lesion,GYN::Cervix,289
GU::Bladder::Urothelial::Invasive_Urothelial_Carcinoma,GU::Bladder,284
Cyto_Heme::Category::Malignant,Cyto_Heme,283
Cyto_Thyroid::Category::Suspicious_For_Malignancy,Cyto_Thyroid,280
HN::Oral_Cavity::Carcinoma::Oral_Squamous_Cell_Carcinoma,HN,279
HN::Salivary_Gland::Malignant_Tumor::Mucoepidermoid_Carcinoma,HN,279
Cyto_Thoracic::Malignant::Carcinoma::Adenocarcinoma_Lung_Invasive,Cyto_Thoracic,277
BST::Bone::Normal_Histology::Growth_And_Development,BST,273
GI::Small_Intestine::Infectious::Protozoal::Small_Intestinal_Giardiasis,GI,273
Skin::Normal_Histology::Adnexa::Nail_Unit,Skin,269
BST::Bone::Other::Malignant::Ewing_Sarcoma,BST,266
Cyto_Pancreatobiliary::Category::Atypical,Cyto_Pancreatobiliary,262
HN::Neck_Lymph_Node::Cyst::Branchial_Cleft_Cyst,HN,261
Skin::Inflammatory::Interface::Pityriasis_Lichenoides_PLEVA_PLC,Skin,261
HN::Genetics::Nevoid_Basal_Cell_Carcinoma_Syndrome,HN,260
Skin::Inflammatory::Interface::Lupus_Erythematosus_Discoid_DLE,Skin,259
Cyto_Breast::Category::Atypical,Cyto_Breast,256
HN::Metastasis::Metastatic_Tumor,HN,256
HN::Neuroendocrine_Paraganglioma::Neuroendocrine_Carcinoma::Merkel_Cell_Carcinoma,HN,255
HN::Salivary_Gland::Benign_Tumor::Pleomorphic_Adenoma,HN,251
BST::Bone::Other::Benign::Fibrous_Dysplasia,BST,250
Endo::Parathyroid::Neoplastic::Epithelial::Benign::Parathyroid_Adenoma,Endo,247
HN::Oral_Cavity::Precursor::Proliferative_Verrucous_Leukoplakia,HN,246
GYN::Uterus::Neoplastic::Mesenchymal::Benign::Leiomyoma,GYN::Uterus,245
HN::Soft_Tissue::Vascular::Hemangioma,HN,245
Endo::Thyroid::Inflammatory::Granulomatous::Palpation_Thyroiditis,Endo,242
BST::Soft_Tissue::Nerve_Sheath::Malignant::Malignant_Peripheral_Nerve_Sheath_Tumor_MPNST,BST,241
Skin::Inflammatory::Drug_Eruption::Drug_Eruption_Overview_NOS,Skin,240
BST::Bone::Other::Benign::Osteofibrous_Dysplasia,BST,239
Breast::Neoplastic::Fibroepithelial::Benign::Fibroadenoma,Breast,235
BST::Bone::Chondrogenic::Benign::Osteochondroma,BST,234
HN::Salivary_Gland::Malignant_Tumor::Adenoid_Cystic_Carcinoma,HN,231
Skin::Inflammatory::Vasculitis::Urticaria_Hives,Skin,230
Skin::Neoplastic::Adnexal::Sebaceous::Sebaceous_Carcinoma,Skin,229
Breast::Neoplastic::Fibroepithelial::Variable_Behavior::Phyllodes_Tumor,Breast,227
Skin::Neoplastic::Soft_Tissue::Neural::Merkel_Cell_Carcinoma,Skin,227
Breast::Genetics::Syndromes::Ataxia_Telangiectasia,Breast,226
BST::Bone::Reactive::Metabolic::Paget_Disease,BST,224
Skin::Inflammatory::Alopecia::Alopecia_Areata,Skin,224
Molecular::Technique::PCR::Reverse_Transcription_PCR,Molecular,223
Skin::Inflammatory::Blistering::Intraepidermal_Vesicular_Dermatitis_Overview,Skin,223
Cyto_Breast::Specimen_Type::Fine_Needle_Aspiration_FNA,Cyto_Breast,220
HN::Soft_Tissue::Adipocytic::Lipoma,HN,220
Skin::Inflammatory::Blistering::Stevens_Johnson_Syndrome_Toxic_Epidermal_Necrolysis,Skin,217
Skin::Neoplastic::Hematolymphoid::Primary_Cutaneous_Follicle_Center_Lymphoma,Skin,217
Skin::Inflammatory::Blistering::Porphyria_Cutanea_Tarda,Skin,215
Skin::Normal_Histology::Hair,Skin,214
Skin::Neoplastic::Melanocytic::Benign::Dysplastic_Nevus,Skin,213
BST::Soft_Tissue::GIST_Visceral::Intermediate::GIST_Risk_Stratified,BST,212
Cyto_GYN::Squamous::Atypical_Squamous_Cells_Undetermined_Significance_ASCUS,Cyto_GYN,211
Skin::Infectious::Fungal::Cutaneous_Fungal_Infection_NOS,Skin,211
HN::Odontogenic_Maxillofacial::Jaw_Cyst::Dentigerous_Cyst,HN,210
HN::Soft_Tissue::Pericytic::Myofibroma,HN,210
Skin::Neoplastic::Soft_Tissue::Neural::Granular_Cell_Tumor,Skin,210
GI::Esophagus::Heterotopia::Esophageal_Gastric_Heterotopia_Inlet_Patch,GI,209
Cyto_Thoracic::Category::Atypical,Cyto_Thoracic,200
BST::Bone::Hematolymphoid::Intermediate::Langerhans_Cell_Histiocytosis,BST,199
HN::Heme::Reactive::Reactive_Lymphoid_Hyperplasia,HN,199
BST::Bone::Vascular::Malignant::Epithelioid_Hemangioendothelioma_Bone,BST,198
Cyto_Heme::Malignant::Hodgkin::Classic_Hodgkin_Lymphoma,Cyto_Heme,196
Cyto_Kidney::Category::Atypical,Cyto_Kidney,195
Skin::Inflammatory::Blistering::Pemphigus_Vulgaris,Skin,195
Skin::Neoplastic::Epidermal::Precursor::Actinic_Keratosis_NOS,Skin,194
BST::Bone::Chondrogenic::Benign::Chondroblastoma,BST,192
