record_id,source,original_tag,review_reason,fuzzy_score,title,input_path
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlmegakaryoblastic,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_Megakaryoblastic_With_T_1_22_P13_3_Q13_1_RBM15_MRTF1,pathout_non_abpath_local_tag,,Pathology Outlines - AML (megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15::MRTF1,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlbcrabl1,pathout,HEME::Myeloid_Neoplasms::AML::Genetic_Abnormalities::Acute_Myeloid_Leukemia_with_BCR_ABL1_Fusion,pathout_non_abpath_local_tag,,Pathology Outlines - AML with BCR::ABL1,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlbialleliccebpa,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_Cebpa_Mutation_WHO_HAEM5_Biallelic_Or_Icc_Bzip,pathout_non_abpath_local_tag,,Pathology Outlines - AML with CEBPA mutation (WHO-HAEM5-biallelic or ICC bzip),data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlflt3,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_FLT3,pathout_non_abpath_local_tag,,Pathology Outlines - AML with FLT3,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlkat6acrebbp,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_KAT6A_Crebbp,pathout_non_abpath_local_tag,,Pathology Outlines - AML with KAT6A::CREBBP,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlrunx1t3,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_RUNX1T_3_CBFA2T_3_GLIS2,pathout_non_abpath_local_tag,,Pathology Outlines - AML with RUNX1T3(CBFA2T3)::GLIS2,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowmyeloidneocebpa,pathout,HEME::Myeloid_Neoplasms::AML::Genetic_Abnormalities::Acute_Myeloid_Leukemia_with_CEBPA_Mutation,pathout_non_abpath_local_tag,,Pathology Outlines - AML with germline CEBPA mutation,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlinv3q21q26,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_Inv_3_Q21_3_Q26_2_Or_T_3_3_Q21_3_Q26_2_GATA2_Mecom,pathout_non_abpath_local_tag,,"Pathology Outlines - AML with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlmutatednpm1,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_Mutated_NPM1,pathout_non_abpath_local_tag,,Pathology Outlines - AML with mutated NPM1,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlkmt2a,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_Other_KMT2A_Rearrangements,pathout_non_abpath_local_tag,,Pathology Outlines - AML with other KMT2A rearrangements,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlmecom,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_Other_Mecom_Rearrangements,pathout_non_abpath_local_tag,,Pathology Outlines - AML with other MECOM rearrangements,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticamlt13p36q21,pathout,HEME::Myeloid_Neoplasms::Neoplastic::Malignant::AML_With_T_1_3_P36_Q21_RDM16_RPN1,pathout_non_abpath_local_tag,,Pathology Outlines - AML with t(1;3)(p36;q21); RDM16::RPN1,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::leukemiabasophil,pathout,HEME::Myeloid_Neoplasms::AML::Differentiation::Acute_Basophilic_Leukemia,pathout_non_abpath_local_tag,,Pathology Outlines - Acute basophilic leukemia,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticacuteundifferentiated,pathout,HEME::Myeloid_Neoplasms::Ambiguous_Lineage::Immunophenotype::Acute_Undifferentiated_Leukemia,pathout_non_abpath_local_tag,,Pathology Outlines - Acute undifferentiated leukemia,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::fallopiantubesadenosarcoma,pathout,GYN::Fallopian_Tube::Mixed_Epithelial_Mesenchymal::Adenosarcoma_of_the_Fallopian_Tube,pathout_non_abpath_local_tag,,Pathology Outlines - Adenosarcoma,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::uterusadenosarcoma,pathout,GYN::Uterine_Corpus::Mixed_Epithelial_Mesenchymal::Adenosarcoma_of_the_Uterine_Corpus,pathout_non_abpath_local_tag,,Pathology Outlines - Adenosarcoma,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowagerelatedchanges,pathout,HEME::Other::Normal_Histology::Age_Related_Changes,pathout_non_abpath_local_tag,,Pathology Outlines - Age related changes,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowsubstanceabuse,pathout,HEME::B_Cell_Lymphomas::Plasma_Cell::Concept::Other::Alcohol_Abuse,pathout_non_abpath_local_tag,,Pathology Outlines - Alcohol abuse,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonenormalanatomy,pathout,BST::Bone::Normal_Histology::Anatomy_Bone_And_Joints,pathout_non_abpath_local_tag,,Pathology Outlines - Anatomy-bone & joints,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::muscleantisynthetase,pathout,UNRESOLVED_ROOT::Skeletal_Muscle::Inflammatory::Antisynthetase_Syndrome_Associated_Myositis,pathout_non_abpath_local_tag,,Pathology Outlines - Antisynthetase syndrome associated myositis,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowaplasticanemia,pathout,HEME::T_NK_Cell::Neoplastic::Precursor::Aplastic_Anemia_Aa,pathout_non_abpath_local_tag,,Pathology Outlines - Aplastic anemia (AA),data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowarsenic,pathout,HEME::Other::Depositional_Metabolic::Arsenic_Toxicity,pathout_non_abpath_local_tag,,Pathology Outlines - Arsenic toxicity,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrownonneoplasticaimf,pathout,HEME::T_NK_Cell::Inflammatory::Autoimmune_Myelofibrosis_Aimf,pathout_non_abpath_local_tag,,Pathology Outlines - Autoimmune myelofibrosis (AIMF),data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowbasophils,pathout,HEME::T_NK_Cell::Concept::IHC_Markers::Basophils,pathout_non_abpath_local_tag,,Pathology Outlines - Basophils,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonebiopsy,pathout,BST::Bone::Concept::Procedure_Specimen::Biopsy,pathout_non_abpath_local_tag,,Pathology Outlines - Biopsy,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowbiopsy,pathout,HN::Bone::Concept::Procedure_Specimen::Biopsy_And_Aspirate_Smear,pathout_non_abpath_local_tag,,Pathology Outlines - Biopsy and aspirate smear,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonemarrowneoplasticbpdcn,pathout,HEME::B_Cell_Lymphomas::Plasma_Cell::Neoplastic::Blastic_Plasmacytoid_Dendritic_Cell_Neoplasm,pathout_non_abpath_local_tag,,Pathology Outlines - Blastic plasmacytoid dendritic cell neoplasm,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::bonebonegrowth,pathout,BST::Bone::Normal_Histology::Bone_Formation_And_Growth,pathout_non_abpath_local_tag,,Pathology Outlines - Bone formation and growth,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::cdmarkersother,pathout,Molecular::Concept::IHC_Markers::CD_Markers_Other,pathout_non_abpath_local_tag,,Pathology Outlines - CD markers - other,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
pathout:pathout::bone_soft_tissue::stainsccr1,pathout,Molecular::Concept::IHC_Markers::CD_Markers_Other_STAINSCCR1,pathout_non_abpath_local_tag,,Pathology Outlines - CD markers - other,data/curriculum_map_v0_2/pathout_tagged_pages_AP_DIAGNOSTIC_v1.jsonl
